Scenario,Period,LoadLevel,ESS1
sc01,y2030,2030-01-01T01:00:00+01:00,76.1270652564577
sc01,y2030,2030-01-01T03:00:00+01:00,111.0
sc01,y2030,2030-01-01T05:00:00+01:00,111.0
sc01,y2030,2030-01-01T07:00:00+01:00,36.52590351409088
sc01,y2030,2030-01-01T09:00:00+01:00,0.0
sc01,y2030,2030-01-01T11:00:00+01:00,0.0
sc01,y2030,2030-01-01T13:00:00+01:00,0.0
sc01,y2030,2030-01-01T15:00:00+01:00,0.0
sc01,y2030,2030-01-01T17:00:00+01:00,0.0
sc01,y2030,2030-01-01T19:00:00+01:00,0.0
sc01,y2030,2030-01-01T21:00:00+01:00,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0
sc01,y2030,2030-01-02T01:00:00+01:00,60.93748645151792
sc01,y2030,2030-01-02T03:00:00+01:00,75.62426273694449
sc01,y2030,2030-01-02T05:00:00+01:00,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0
sc01,y2030,2030-01-02T09:00:00+01:00,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,0.0
sc01,y2030,2030-01-02T13:00:00+01:00,0.0
sc01,y2030,2030-01-02T15:00:00+01:00,0.0
sc01,y2030,2030-01-02T17:00:00+01:00,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,0.0
sc01,y2030,2030-01-02T21:00:00+01:00,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0
sc01,y2030,2030-01-03T01:00:00+01:00,54.80141444826351
sc01,y2030,2030-01-03T03:00:00+01:00,92.25979154970149
sc01,y2030,2030-01-03T05:00:00+01:00,14.020543384145967
sc01,y2030,2030-01-03T07:00:00+01:00,0.0
sc01,y2030,2030-01-03T09:00:00+01:00,0.0
sc01,y2030,2030-01-03T11:00:00+01:00,0.0
sc01,y2030,2030-01-03T13:00:00+01:00,25.22398015203237
sc01,y2030,2030-01-03T15:00:00+01:00,4.0180222408899064
sc01,y2030,2030-01-03T17:00:00+01:00,0.0
sc01,y2030,2030-01-03T19:00:00+01:00,0.0
sc01,y2030,2030-01-03T21:00:00+01:00,0.0
sc01,y2030,2030-01-03T23:00:00+01:00,0.0
sc01,y2030,2030-01-04T01:00:00+01:00,67.84682970041966
sc01,y2030,2030-01-04T03:00:00+01:00,98.74447221229724
sc01,y2030,2030-01-04T05:00:00+01:00,14.75730518733468
sc01,y2030,2030-01-04T07:00:00+01:00,0.0
sc01,y2030,2030-01-04T09:00:00+01:00,0.0
sc01,y2030,2030-01-04T11:00:00+01:00,0.0
sc01,y2030,2030-01-04T13:00:00+01:00,14.074127950829219
sc01,y2030,2030-01-04T15:00:00+01:00,0.0
sc01,y2030,2030-01-04T17:00:00+01:00,0.0
sc01,y2030,2030-01-04T19:00:00+01:00,0.0
sc01,y2030,2030-01-04T21:00:00+01:00,0.0
sc01,y2030,2030-01-04T23:00:00+01:00,0.0
sc01,y2030,2030-01-05T01:00:00+01:00,59.58171628062373
sc01,y2030,2030-01-05T03:00:00+01:00,84.15834187644745
sc01,y2030,2030-01-05T05:00:00+01:00,0.0
sc01,y2030,2030-01-05T07:00:00+01:00,0.0
sc01,y2030,2030-01-05T09:00:00+01:00,0.0
sc01,y2030,2030-01-05T11:00:00+01:00,0.0
sc01,y2030,2030-01-05T13:00:00+01:00,31.53854929358956
sc01,y2030,2030-01-05T15:00:00+01:00,14.847556310458181
sc01,y2030,2030-01-05T17:00:00+01:00,0.0
sc01,y2030,2030-01-05T19:00:00+01:00,0.0
sc01,y2030,2030-01-05T21:00:00+01:00,0.0
