InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc01,y2030,2030-01-01T01:00:00+01:00,0.0018843042001416245,0.12944372176041,0.07414422289679598,0.07209215016567225,0.09023934789700971,0.009270942533453501,0.14404246369139834,0.055224953516499614,0.075,0.03652806502133865,0.01769047141406416,0.023613955107268672,0.01498230679422866
sc01,y2030,2030-01-01T03:00:00+01:00,0.15,0.12358397010295864,0.08613281219683866,0.06671935014275863,0.13217351291231424,0.009278434782543706,0.1331057129697193,0.07066815333553884,0.09175561702549888,0.03380670937707123,0.012672708143151436,0.032869804364910916,0.03629490328351673
sc01,y2030,2030-01-01T05:00:00+01:00,0.22499999999999998,0.15636470374671654,0.08960032778715699,0.07111860717706295,0.1474425050191465,0.014923061929735857,0.12761423496421992,0.0742732195708443,0.09650200960121351,0.03422707304970308,0.0164555028406743,0.037517924853077235,0.0433294116984332
sc01,y2030,2030-01-01T07:00:00+01:00,0.15,0.1899087049024281,0.05467747873881252,0.07489493966776313,0.05277547440820779,0.0240557344076703,0.1277253882020621,0.017512606866366416,0.049763721525716405,0.037974631848584045,0.026839142189559743,0.01533135919327855,0.003455190233319011
sc01,y2030,2030-01-01T09:00:00+01:00,0.1686583751919732,0.22499999999999998,0.05421097556294013,0.08359827000438484,0.04745919674773846,0.030322591005207993,0.1357080858066782,0.009574567432690924,0.047529412232666074,0.042129453483107045,0.032083434914385194,0.01450502303972329,0.00901562352267156
sc01,y2030,2030-01-01T11:00:00+01:00,0.15120905415828406,0.22499999999999998,0.06165548225137034,0.08729856490470957,0.058107075613536036,0.029057595341133523,0.14652010722657302,0.017455356094812958,0.05552209168902482,0.04408127502846502,0.03183527153369662,0.017067765721298138,0.005527952986669866
sc01,y2030,2030-01-01T13:00:00+01:00,0.15,0.18926166929683053,0.06849123721301514,0.0819760366162854,0.07281459200096836,0.021482246810995816,0.14802701604533733,0.032836207959193425,0.06480846525140792,0.04162845535175141,0.026352322829844076,0.020156509547092624,0.003130541878743474
sc01,y2030,2030-01-01T15:00:00+01:00,0.15991595183544582,0.22499999999999998,0.06711977820681353,0.08935647365072348,0.06560639864590269,0.028305754933068993,0.15379179071441995,0.022265831549647154,0.0611017910726158,0.045327739258411964,0.031534543694080194,0.018854287888675693,0.0029781217378345238
sc01,y2030,2030-01-01T17:00:00+01:00,0.22499999999999998,0.23759452617598426,0.03831902381986778,0.059801892603133705,0.03949822622836952,0.027488308797625847,0.16772769770826107,0.0021088674743290187,0.056259713608423696,0.052935725858323554,0.041393885572083566,0.017037547471419678,0.013626827100796659
