Scenario,Period,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,ESS1,FuelOilGas,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear,OCGT_1,OCGT_2,OCGT_3,SolarPV_1,WindFarm_1
sc01,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,12.736612635,0.0,0.0,0.0,771.6,0.0,0.0,0.0,100.0,150.8903
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,11.769556434999998,0.0,0.0,0.0,771.6,0.0,0.0,0.0,100.0,131.4923375
sc01,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,11.283985540000002,0.0,0.0,0.0,771.6,0.0,0.0,0.0,100.0,106.31112816995797
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0,0.0,14.117267499999999,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.023775,101.79625000000001
sc01,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,0.0,0.0,41.92258874153012,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,10.2590125,80.8400875
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,66.8167076475197,0.0,13.390658060241034,0.0,0.0,0.0,771.6,0.0,0.0,0.0,58.90632500000001,66.08256249999997
sc01,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,66.8167076475197,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,77.1099375,71.13882499999997
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,92.87035226469207,0.0,24.110725232913133,0.0,0.0,0.0,771.6,0.0,0.0,0.0,67.7231,69.18407499999998
sc01,y2030,2030-01-01T17:00:00+01:00,0.0,115.69353034090969,0.0,0.0,92.87035226469207,0.0,50.10257353997292,0.0,0.0,0.0,771.6,0.0,0.0,0.0,23.40900000000001,64.55613749999998
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,115.69353034090969,0.0,0.0,92.87035226469207,0.0,47.002321847440896,0.0,0.0,0.0,771.6,23.548334462926853,0.0,0.0,0.020062500000010523,69.83647499999996
sc01,y2030,2030-01-01T21:00:00+01:00,0.0,82.90097961112198,0.0,0.0,92.87035226469207,0.0,48.722846311332376,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,79.68307499999995
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,34.48579531097119,0.0,0.0,92.87035226469207,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,86.22413749999997
sc01,y2030,2030-01-02T01:00:00+01:00,0.0,34.48579531097119,0.0,0.0,92.87035226469207,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,78.98979999999996
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,34.48579531097119,0.0,0.0,92.87035226469207,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,71.52119999999995
sc01,y2030,2030-01-02T05:00:00+01:00,0.0,34.48579531097119,0.0,0.0,110.76811353544389,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,74.17923749999994
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,168.20987102782618,0.0,0.0,110.76811353544389,0.0,30.591523554873564,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.024412500000010523,78.82876249999995
sc01,y2030,2030-01-02T09:00:00+01:00,0.0,270.66663924807295,0.0,0.0,110.76811353544389,0.0,31.16079987814698,0.0,0.0,0.0,771.6,0.0,0.0,0.0,11.078100000000012,72.43432499999994
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,277.5306349520954,0.0,0.0,110.76811353544389,0.0,35.23336505121244,0.0,0.0,0.0,771.6,0.0,0.0,0.0,58.79821250000002,49.67437499999995
sc01,y2030,2030-01-02T13:00:00+01:00,0.0,277.5306349520954,0.0,0.0,110.76811353544389,0.0,22.125608081928025,0.0,0.0,0.0,771.6,0.0,0.0,0.0,74.2738125,34.596537499999954
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,303.10615265137665,0.0,0.0,110.76811353544389,0.0,33.362615464223666,0.0,0.0,0.0,771.6,0.0,0.0,0.0,61.65696250000002,35.28829999999995
sc01,y2030,2030-01-02T17:00:00+01:00,0.0,380.27918221724934,0.0,0.0,110.76811353544389,0.0,27.267684883524122,0.0,0.0,0.0,771.6,31.50763015034069,0.0,0.0,19.497850000000017,43.97857499999995
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,380.27918221724934,0.0,0.0,110.76811353544389,0.0,24.481696779406725,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.023900000000017223,46.34117499999997
sc01,y2030,2030-01-02T21:00:00+01:00,0.0,279.3226797233995,0.0,0.0,110.76811353544389,0.0,24.48086729698756,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,44.377624999999966
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,151.0067556231002,0.0,0.0,110.76811353544389,0.0,25.490124553115614,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,48.67747499999997
sc01,y2030,2030-01-03T01:00:00+01:00,0.0,151.0067556231002,0.0,0.0,110.76811353544389,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,48.191962499999946
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,151.0067556231002,0.0,0.0,110.76811353544389,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,58.087874999999954
sc01,y2030,2030-01-03T05:00:00+01:00,0.0,151.0067556231002,0.0,0.0,110.76811353544389,0.0,0.0,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.0,67.73657499999996
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,266.8972916445964,0.0,0.0,110.76811353544389,0.0,30.364888897483976,0.0,0.0,0.0,771.6,0.0,0.0,0.0,0.024462500000017224,78.74963749999995
