,,,,MW 
sc2015,y2030,2030-01-01T11:00:00+01:00,PumpedStorage_Hydro,223.84532360000003
sc2015,y2030,2030-01-01T11:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,Solar_PV,1469.1564389999999
sc2015,y2030,2030-01-01T13:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T13:00:00+01:00,Cogeneration,261.13197030000003
sc2015,y2030,2030-01-01T13:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,CCGT,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,Onshore_wind,488.83182717999995
sc2015,y2030,2030-01-01T13:00:00+01:00,PumpedStorage_Hydro,233.3822753
sc2015,y2030,2030-01-01T13:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,Solar_PV,1923.1646374500003
sc2015,y2030,2030-01-01T15:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T15:00:00+01:00,Cogeneration,260.42270795
sc2015,y2030,2030-01-01T15:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,CCGT,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,Onshore_wind,475.9310899700001
sc2015,y2030,2030-01-01T15:00:00+01:00,PumpedStorage_Hydro,228.74358135000006
sc2015,y2030,2030-01-01T15:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,Solar_PV,1689.0517008000002
sc2015,y2030,2030-01-01T17:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T17:00:00+01:00,Cogeneration,262.16212335
sc2015,y2030,2030-01-01T17:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,CCGT,499.47353838764326
sc2015,y2030,2030-01-01T17:00:00+01:00,Onshore_wind,438.6111005200001
sc2015,y2030,2030-01-01T17:00:00+01:00,PumpedStorage_Hydro,506.8805758773565
sc2015,y2030,2030-01-01T17:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,Solar_PV,583.8334523550001
sc2015,y2030,2030-01-01T19:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T19:00:00+01:00,Cogeneration,270.92048815
sc2015,y2030,2030-01-01T19:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-01T19:00:00+01:00,Onshore_wind,474.0322802400001
sc2015,y2030,2030-01-01T19:00:00+01:00,PumpedStorage_Hydro,372.34051508200014
sc2015,y2030,2030-01-01T19:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,Hydro_UGH,630.0
sc2015,y2030,2030-01-01T19:00:00+01:00,Solar_PV,0.5493157230001059
sc2015,y2030,2030-01-01T21:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T21:00:00+01:00,Cogeneration,274.5916539
sc2015,y2030,2030-01-01T21:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-01T21:00:00+01:00,Onshore_wind,539.66687476
sc2015,y2030,2030-01-01T21:00:00+01:00,PumpedStorage_Hydro,1291.7395420649993
sc2015,y2030,2030-01-01T21:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-01T23:00:00+01:00,Cogeneration,274.98664554999993
sc2015,y2030,2030-01-01T23:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-01T23:00:00+01:00,Onshore_wind,589.1476239100001
sc2015,y2030,2030-01-01T23:00:00+01:00,PumpedStorage_Hydro,436.0684140649993
sc2015,y2030,2030-01-01T23:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,Hydro_UGH,630.0
sc2015,y2030,2030-01-01T23:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T01:00:00+01:00,Cogeneration,269.4198901
sc2015,y2030,2030-01-02T01:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T01:00:00+01:00,Onshore_wind,543.618074385
sc2015,y2030,2030-01-02T01:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,Hydro_UGH,383.4725862299992
sc2015,y2030,2030-01-02T01:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T03:00:00+01:00,Cogeneration,270.69597855000006
sc2015,y2030,2030-01-02T03:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,CCGT,1251.9716652099992
sc2015,y2030,2030-01-02T03:00:00+01:00,Onshore_wind,490.31178194
sc2015,y2030,2030-01-02T03:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T05:00:00+01:00,Cogeneration,277.977805
sc2015,y2030,2030-01-02T05:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,CCGT,1165.649673764999
sc2015,y2030,2030-01-02T05:00:00+01:00,Onshore_wind,504.273618385
sc2015,y2030,2030-01-02T05:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T07:00:00+01:00,Cogeneration,299.6533716
sc2015,y2030,2030-01-02T07:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T07:00:00+01:00,Onshore_wind,539.555180035
sc2015,y2030,2030-01-02T07:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,Hydro_UGH,364.21806280399926
sc2015,y2030,2030-01-02T07:00:00+01:00,Solar_PV,0.6836829660001057
sc2015,y2030,2030-01-02T09:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T09:00:00+01:00,Cogeneration,365.27266595000003
sc2015,y2030,2030-01-02T09:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T09:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T09:00:00+01:00,Onshore_wind,502.59819801000003
sc2015,y2030,2030-01-02T09:00:00+01:00,PumpedStorage_Hydro,314.1902835344992
sc2015,y2030,2030-01-02T09:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T09:00:00+01:00,Hydro_UGH,630.0
sc2015,y2030,2030-01-02T09:00:00+01:00,Solar_PV,276.2939623905001
sc2015,y2030,2030-01-02T11:00:00+01:00,Nuclear,1000.0
