Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-01T01:00:00+01:00,0,-0.011621385406445306,-0.009061417164355712,-0.004792362142637119,-0.020463052652251124,-0.006542181651364221,-0.010492690763439505,-0.009467852455834258,-0.010056163741377189
sc01,y2030,2030-01-01T03:00:00+01:00,0,-0.01237065015813621,-0.010331946135569092,-0.007504894291439079,-0.021985752085421417,-0.007258989285327422,-0.011201778424382303,-0.010449481094188862,-0.011454028550401674
sc01,y2030,2030-01-01T05:00:00+01:00,0,-0.011846066908444364,-0.009912188694196633,-0.007255291907908301,-0.021138719957500163,-0.006918884352495658,-0.010726519395778844,-0.010020357333810903,-0.011019164470953857
sc01,y2030,2030-01-01T07:00:00+01:00,0,-0.011472394914876283,-0.009468929542635562,-0.006687628213717156,-0.02058314886395407,-0.0065937606409134375,-0.010349576420051187,-0.009599399742068693,-0.010455400437249462
sc01,y2030,2030-01-01T09:00:00+01:00,0,-0.012068201728433925,-0.009927609186716424,-0.006944909078827832,-0.0217088846304041,-0.006893589397388711,-0.01087879328309338,-0.010074984333988679,-0.010962129204638238
sc01,y2030,2030-01-01T11:00:00+01:00,0,-0.013124173850991294,-0.010822473486090889,-0.00762376918250407,-0.023564007879769644,-0.007530208473835787,-0.01183713037214651,-0.010974598839231353,-0.011950027848101064
sc01,y2030,2030-01-01T13:00:00+01:00,0,-0.01322706721474498,-0.010876126566379485,-0.007527851586021761,-0.023632030146018668,-0.00762067815898515,-0.011940671422612903,-0.011053645529413902,-0.012015641548851042
sc01,y2030,2030-01-01T15:00:00+01:00,0,-0.014230187096995639,-0.011897597141029559,-0.008830941713363405,-0.025562282551633952,-0.008251764352762647,-0.01284357613535736,-0.01198734656227618,-0.01312545761979722
sc01,y2030,2030-01-01T17:00:00+01:00,0,-0.013421201132562066,-0.012546550117254807,-0.011869366924257552,-0.030116825162041172,-0.008861288975006154,-0.014229554036897962,-0.013529725368826906,-0.015283334197791598
sc01,y2030,2030-01-01T19:00:00+01:00,0,-0.01283438518651736,-0.01226743754711368,-0.012044747078019835,-0.03033093401242981,-0.008688425901560048,-0.014121959534139306,-0.013452286797483337,-0.015271189885717185
sc01,y2030,2030-01-01T21:00:00+01:00,0,-0.013754810763436875,-0.012576865892242273,-0.011542653218177046,-0.02909422878990453,-0.008786839932129809,-0.013930080895395713,-0.01324283305515861,-0.01489654594877754
sc01,y2030,2030-01-01T23:00:00+01:00,0,-0.013070507735094106,-0.011336968863274288,-0.009229419781249248,-0.025305577296763637,-0.007893730911699981,-0.012424698763024988,-0.011677886908509683,-0.01293448219176141
sc01,y2030,2030-01-02T01:00:00+01:00,0,-0.011324891259913317,-0.009595729584969348,-0.007164407295833897,-0.022133915362653633,-0.006737265242427348,-0.010835336295415443,-0.010056742160686083,-0.01103397239883841
sc01,y2030,2030-01-02T03:00:00+01:00,0,-0.01087176759044195,-0.009166729478266689,-0.006711094127676898,-0.02131981755765966,-0.006446205773040781,-0.010423224638711703,-0.009647688482734784,-0.010564111103205986
sc01,y2030,2030-01-02T05:00:00+01:00,0,-0.013577507683769863,-0.011918420516873196,-0.010111049404393224,-0.026279585855289556,-0.008250226970627494,-0.01288535438336269,-0.012185542496903512,-0.013562989315170082
sc01,y2030,2030-01-02T07:00:00+01:00,0,-0.012562669640538093,-0.01225736667174715,-0.012335970127665963,-0.03126851604850156,-0.008769021835950408,-0.014407833009878468,-0.013724282425883416,-0.01563170509464684
sc01,y2030,2030-01-02T09:00:00+01:00,0,-0.011204530346872188,-0.011926056987217049,-0.013293097135671283,-0.033989121971819136,-0.008794602253592743,-0.015049843540916541,-0.014361339588583766,-0.01657381840513006
sc01,y2030,2030-01-02T11:00:00+01:00,0,-0.011395382990714742,-0.01208368072068322,-0.013302581465956642,-0.03458643586281074,-0.008966599365079375,-0.015353679441100887,-0.01461884329163965,-0.01684240046925778
sc01,y2030,2030-01-02T13:00:00+01:00,0,-0.010980785766953494,-0.011652197923962326,-0.012747581401030272,-0.033825954791871116,-0.008684814130563101,-0.014975844608555056,-0.014224630977165864,-0.01637267868475889
sc01,y2030,2030-01-02T15:00:00+01:00,0,-0.010946257670038095,-0.011948212481008413,-0.013624529059192536,-0.03510763819965579,-0.008914536006283447,-0.015412668464184653,-0.014703097783709929,-0.017015241822940563
sc01,y2030,2030-01-02T17:00:00+01:00,0,-0.008939177910262552,-0.011173868419235955,-0.014530923488129233,-0.03714298336234623,-0.00857103287437111,-0.015567101523755955,-0.014914643992961718,-0.01753846855725083
sc01,y2030,2030-01-02T19:00:00+01:00,0,-0.00913451268752663,-0.011112044742490612,-0.014202768426919476,-0.035973817912495765,-0.008418740014628723,-0.015163162693517585,-0.014537853206465945,-0.01706422685260023
sc01,y2030,2030-01-02T21:00:00+01:00,0,-0.010518799986342309,-0.011474807607619653,-0.013276183391412788,-0.033363482484342066,-0.008424552774034755,-0.01457352097472131,-0.013948997370023308,-0.01617662871168024
sc01,y2030,2030-01-02T23:00:00+01:00,0,-0.012365925665046129,-0.011998036685321178,-0.012102317728275747,-0.03017534709355596,-0.008487791908070363,-0.013905345549449777,-0.013270498348334048,-0.01511875368799176
sc01,y2030,2030-01-03T01:00:00+01:00,0,-0.01030438635139519,-0.009916296590511076,-0.009513634726074915,-0.026278782127412414,-0.007171136863471039,-0.01204313641400101,-0.01135499603935708,-0.01285322012257506
