Scenario,Period,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
sc2015,y2030,2030-01-01T01:00:00+01:00,75.56900177693794,75.65628892230933,75.94282181405529,75.44918401506426,75.57637712783264,75.56647308520262,75.44918401506432,75.51405938678042,75.57764147370031,75.5609942531094,75.44918401506432
sc2015,y2030,2030-01-01T03:00:00+01:00,75.44918401506426,75.44918401506426,75.44918401506432,75.44918401506429,75.44918401506428,75.44918401506426,75.44918401506432,75.44918401506429,75.44918401506428,75.44918401506426,75.44918401506432
sc2015,y2030,2030-01-01T05:00:00+01:00,75.44918401506428,75.44918401506428,75.44918401506432,75.44918401506426,75.44918401506428,75.44918401506428,75.44918401506432,75.44918401506428,75.44918401506428,75.44918401506428,75.44918401506432
sc2015,y2030,2030-01-01T07:00:00+01:00,75.44918401506426,75.44918401506426,75.44918401506432,75.44918401506426,75.44918401506428,75.44918401506426,75.44918401506432,75.44918401506428,75.44918401506428,75.44918401506426,75.44918401506432
sc2015,y2030,2030-01-01T09:00:00+01:00,75.44918401506428,75.44918401506428,75.44918401506432,75.44918401506429,75.44918401506428,75.44918401506428,75.44918401506432,75.44918401506429,75.44918401506428,75.44918401506428,75.44918401506432
sc2015,y2030,2030-01-01T11:00:00+01:00,53.56892065069562,53.56892065069562,53.56892065069561,53.56892065069563,53.56892065069562,53.56892065069562,53.56892065069561,53.568920650695624,53.56892065069563,53.56892065069562,53.56892065069561
sc2015,y2030,2030-01-01T13:00:00+01:00,53.568920650695624,53.568920650695624,53.56892065069565,53.56892065069563,53.56892065069562,53.568920650695624,53.56892065069565,53.56892065069563,53.56892065069562,53.568920650695624,53.56892065069565
sc2015,y2030,2030-01-01T15:00:00+01:00,53.56892065069566,53.56892065069566,53.56892065069567,53.56892065069566,53.56892065069566,53.56892065069566,53.56892065069567,53.56892065069566,53.56892065069566,53.56892065069566,53.56892065069567
sc2015,y2030,2030-01-01T17:00:00+01:00,75.44918401506429,75.44918401506429,75.44918401506432,75.4491840150643,75.44918401506429,75.44918401506429,75.44918401506432,75.4491840150643,75.44918401506428,75.44918401506429,75.44918401506432
sc2015,y2030,2030-01-01T19:00:00+01:00,75.44918401506426,75.44918401506426,75.44918401506438,75.44918401506426,75.44918401506425,75.44918401506426,75.44918401506438,75.44918401506428,75.44918401506425,75.44918401506426,75.44918401506438
