Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,CL_PSH1,CL_PSH2,Coal1,Coal2,Hydro1,Hydro2,Nuclear1,Nuclear2,OL_PSH1,OL_PSH2
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,85.59115105411192,0.0,0.0,256.49681887036854,475.78410332552
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,522.3406418000001,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,314.1473582200005
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,250.35819185900027
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,321.7247245750002,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.84532360000003
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.3822753,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.74358135000006
sc2015,y2030,2030-01-01T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.8805758773565,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,372.34051508200014
sc2015,y2030,2030-01-01T21:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.7395420649992,800.0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,436.0684140649993,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,383.4725862299992,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,500.0,95.57804687466799,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,364.21806280399926,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T09:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,217.42064182983657,96.76964170466262
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.63765967500007
sc2015,y2030,2030-01-02T13:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.237717325,800.0
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,31.601234121471755,0.0,0.0,0.0,379.99999999999994,0.0,0.0,791.4749924485018,751.7032328185257
sc2015,y2030,2030-01-02T21:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,107.75335757955628,0.0,0.0,10.665088480442451,379.99999999999994,0.0,0.0,800.0,800.0
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,500.0,0.0,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,119.77585646650631,0.0,0.0,760.9015187756341,792.3191505578594
sc2015,y2030,2030-01-03T01:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.42158411499994,800.0
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.93210209499966
sc2015,y2030,2030-01-03T05:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,103.163914055,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.95618634349935,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,0.0,0.0,500.0,130.98434691966926,0.0,0.0,153.53631765226302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.18475797299976
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,158.21625605236767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.72018462786468,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,0.0,0.0,204.47462788784583,83.35948096215446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,197.4562437522696,0.0,0.0,0.0,78.38180079773069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,0.0,0.0,329.1081280261838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.8420227519014,0.0
