Scenario,Period,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
sc2015,y2030,2030-01-01T01:00:00+01:00,-0.1632765798962745,-0.10677453905859378,-0.16567425,0.18468081407205988,-0.08383295935042245,-0.17251326205328987,0.033971910843315634,-0.03815275886930674,-0.020439685927940137,-0.036516274846614794,0
sc2015,y2030,2030-01-01T03:00:00+01:00,-0.17500489986743006,-0.13600876184470695,-0.15826174534666995,0.07769109311399602,-0.11116827440256694,-0.18097946048551708,0.029132766693915627,-0.06337269268729602,-0.08725437545063067,-0.05601789437158062,0
sc2015,y2030,2030-01-01T05:00:00+01:00,-0.07332808880829672,-0.07147801972640748,-0.1289407481418837,0.19960182758653192,0.00016885013210553746,-0.08407856320624393,0.02576489085049501,-0.0018104923012966286,0.02538076178089453,0.017848868434483002,0
sc2015,y2030,2030-01-01T07:00:00+01:00,-0.20946795782231017,-0.15523988884916892,-0.1530473662899385,-0.013799480521066682,-0.16740576812477315,-0.20942081801581489,0.020068275478035625,-0.08911107296226012,-0.14884337903028014,-0.08376988885461405,0
sc2015,y2030,2030-01-01T09:00:00+01:00,-0.07822356052786941,-0.11171971701045603,-0.14148380144295727,0.12498153460310518,-0.03469201421646055,-0.08811533614898695,0.01199101366269438,-0.02468795562317679,-0.02010412493495622,-0.005828449393055972,0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.20545763547266277,-0.04344560579287858,-0.1336869221916917,0.14185855867839592,0.15011274931277965,0.1856519786528216,0.0032897752634900006,0.05469311036751247,0.09870217405754937,0.15170835395690768,0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.23245242301715424,-0.0463649222716417,-0.13968583616425304,0.035991430846385265,0.10891583824882597,0.21974305467382252,0.004240292875963763,0.04317746282967011,0.060108947548276,0.16668520328234962,0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.23083893920585688,-0.03640960825195451,-0.13434581111386185,0.14216082705671879,0.14402150277219308,0.21395710113006686,0.003973100095004388,0.06028825205464465,0.08298320445326593,0.16981808044475125,0
sc2015,y2030,2030-01-01T17:00:00+01:00,-0.07881759995197604,-0.03377198140036396,-0.12853025469082738,0.0006418096679060774,-0.09774942857849511,-0.07833417722414666,0.03556726004097498,-0.03787813027052139,-0.07674158172448967,0.007777366319700388,0
sc2015,y2030,2030-01-01T19:00:00+01:00,-0.14195813017394715,0.08711882309917032,-0.12112343867425848,0.18084327377736542,-0.06008117526434601,-0.1506569987955646,0.08375777814479371,-0.014736798299876386,-0.007499543555714382,-0.001474197492405523,0
sc2015,y2030,2030-01-01T21:00:00+01:00,-0.24042188928852049,0.017570296843681225,-0.15380511747240044,0.08228713687477439,-0.16141173610073822,-0.24639598147106873,0.08508888271805937,-0.07278675368423486,-0.10719805547964474,-0.07634228686416479,0
sc2015,y2030,2030-01-01T23:00:00+01:00,-0.20419097715482687,0.047206168047975984,-0.13904110543529205,0.05651583131306244,-0.12410147533283644,-0.21138002589174645,0.08912770168013374,-0.06541994904418447,-0.11536066519500561,-0.051281153177109684,0
sc2015,y2030,2030-01-02T01:00:00+01:00,-0.12049583141409642,0.14550860767549803,-0.0846263830907468,0.07583006422804872,-0.08004013501829714,-0.11762236107972616,0.09150822012111184,-0.011862647617302855,-0.04685609611839219,0.03371811295203445,0
sc2015,y2030,2030-01-02T03:00:00+01:00,-0.10609056208534447,0.18245741251144154,-0.0571206842085457,0.010663576624965832,-0.09726353854083475,-0.09463622209797279,0.09165288388624498,-0.008326215390242427,-0.07347728823545094,0.05568133100835754,0
sc2015,y2030,2030-01-02T05:00:00+01:00,-0.11930202274788831,0.18842285843947573,-0.05307563924326246,0.002308639012472702,-0.12576704912658732,-0.10291746863612902,0.0928978674228156,-0.009769161923463658,-0.08871209352776112,0.05537150347789118,0
sc2015,y2030,2030-01-02T07:00:00+01:00,-0.12106741658869727,0.15064212435530566,-0.08344425453669034,0.072000005878155,-0.08221269730608013,-0.11763407122898717,0.0912231269793631,-0.010660849126642134,-0.04929485907039097,0.03517510789608741,0
sc2015,y2030,2030-01-02T09:00:00+01:00,-0.1425840201577367,0.07658676136166766,-0.13641952635308593,0.11539317986957923,-0.09119473157454554,-0.14950102731079426,0.0830799993451481,-0.028182386716582023,-0.046814702291171975,-0.006840578425973118,0
sc2015,y2030,2030-01-02T11:00:00+01:00,0.13369611983421612,0.12428972137529012,-0.13911159770000622,0.12746916118884397,0.10715582532198449,0.11116637196911444,0.07114662821057187,0.03988074591555966,0.05163064338689294,0.13266922867328176,0
sc2015,y2030,2030-01-02T13:00:00+01:00,0.18201758344925253,0.14646019135057428,-0.12630162662776967,0.08409785625836522,0.0822360398847638,0.16930442194102116,0.06572290549710501,0.05376486956486472,0.051386407333773185,0.17017797273622415,0
sc2015,y2030,2030-01-02T15:00:00+01:00,0.16149626460720226,0.1507168234661161,-0.11774015739763218,0.07891431171064324,0.10605425034008255,0.14436586473959184,0.06723244956342875,0.046748039888985835,0.042723199710134135,0.15522871207581945,0
sc2015,y2030,2030-01-02T17:00:00+01:00,-0.0744390796466244,0.09245789647162879,-0.13061271401543573,0.16126468889417547,-0.03436346754746301,-0.08550010321064155,0.07118406554460124,0.0010825681701661471,0.005380262764756867,0.02797163134389814,0
sc2015,y2030,2030-01-02T19:00:00+01:00,-0.31251093446816497,0.08366022330818533,-0.15584726258512352,0.029561675701817114,-0.23900999775472004,-0.31385471754449085,0.0679559859009175,-0.094671,-0.1755588242981829,-0.10985830231489932,0
sc2015,y2030,2030-01-02T21:00:00+01:00,-0.3125410991824582,0.0717402582285186,-0.16408223640265915,0.046355093193758905,-0.22603428856307034,-0.3176747353823051,0.06623601850180875,-0.094671,-0.1587654068062411,-0.116240318926245,0
sc2015,y2030,2030-01-02T23:00:00+01:00,-0.29918372964241824,0.015128354746705909,-0.16567425,0.04595089956595443,-0.2206327759125761,-0.30351424541106053,0.07064168813759812,-0.09422268180902679,-0.15916960043404557,-0.11701961798668961,0
sc2015,y2030,2030-01-03T01:00:00+01:00,-0.16134186399119235,0.09166763192347441,-0.11569910753662783,0.13305774865481532,-0.09307823935002302,-0.16590241269143363,0.07566677094275374,-0.021854911547391873,-0.04078784043808176,-0.012467872331718904,0
sc2015,y2030,2030-01-03T03:00:00+01:00,-0.11669225898944433,0.1625743143092775,-0.07506749915577006,0.06522540328711862,-0.08438702436923574,-0.11165143819078872,0.08317811602218562,-0.004205340731509384,-0.0499986367254211,0.038950150921223496,0
sc2015,y2030,2030-01-03T05:00:00+01:00,-0.11024705136873961,0.18233757319342936,-0.06460207863804979,0.029603877897559836,-0.08996836817229907,-0.10172868640250887,0.08791244812789062,-0.004238171155052489,-0.06498278575751462,0.05081025932658693,0
sc2015,y2030,2030-01-03T07:00:00+01:00,-0.1601960810847566,0.14992046499275188,-0.08164344944038367,-0.020729186314828084,-0.14141275910388731,-0.15014788794845196,0.09069721543406,-0.033350675489538864,-0.11580547861376951,0.014681931204027342,0
