InitialNode,,,Almeria,Almeria,Barcelona,Barcelona,Bilbao,Bilbao,Bilbao,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Cadiz,Cadiz,Cartagena,Cartagena,Lugo,Lugo,Madrid,Madrid,Sevilla,Sevilla,Valencia,Valencia,Valencia
FinalNode,,,Cadiz,Cartagena,Madrid,Valencia,Barcelona,Valladolid,Valladolid,Madrid,Madrid,Sevilla,Sevilla,Sevilla,Valladolid,Valladolid,Sevilla,Sevilla,Valencia,Valencia,Valladolid,Valladolid,Valladolid,Valladolid,Madrid,Valladolid,Madrid,Madrid,Madrid
Circuit,,,ac1,ac1,ac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,ac1,cac1,ac1,cac1,ac1,ac2,cac1
sc2015,y2030,2030-01-01T01:00:00+01:00,0.2877102043770304,0.09756612011086128,0.16411579929767592,0.2544448429806527,0.14086450559701486,1.0,0,0.8826630103517707,0,1.0,1.0,0,0.731536640333602,0,0.6696166029986197,0.06477423095989758,0.6630102169538153,0,0.126650042568408,0.126650042568408,0.40300365338178257,0,0.06414903803590452,0,0.006482254423313151,0.006482254423313151,0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.23118846337869572,0.06310866704785001,0.17371636985702638,0.2896920944798351,0.053220219063229726,0.9552585591706012,0,0.5587658277137085,0,0.8041393647374431,0.8041393647374431,0,0.3077411236571761,0,0.2526000459690536,0.26560916604148294,0.6092105182755331,0,0.1086093201803482,0.1086093201803482,0.6693992108174205,0,0.08648905703813829,0,0.029132990761619494,0.029132990761619494,0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.26617391274891156,0.11355615128124982,0.1666168076218137,0.3235030965677183,0.13742781923928304,0.7782787496661895,0,0.7978115786031174,0,0.8493595998724525,0.8493595998724525,0,0.7906400623733718,0,0.26631082009051343,0.26560916604148294,0.4969148946142727,0,0.09605360552238806,0.09605360552238806,0.019124043279321386,0,0.09847488338902817,0,0.0778724242473129,0.0778724242473129,0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.1523309374783481,0.0004979329097116923,0.1581536276959364,0.2588332224031976,0.005243635348627351,0.9237848747764877,0,0.2983157161691282,0,0.6583637350202123,0.6583637350202123,0,0.054660933077711325,0,0.19607259978761163,0.26560916604148294,0.6125712893699109,0,0.07481616077736317,0.07481616077736317,0.9412710646582387,0,0.21632440551752619,0,0.021156891132102527,0.021156891132102527,0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.15765230738539834,0.10448580474609473,0.20814509686223184,0.3834920669352059,0.07118376255365684,0.8539878794861439,0,0.5928537655127313,0,0.7073191589239564,0.7073191589239564,0,0.49506264300751507,0,0.15409036855535846,0.26560916604148294,0.40116364164445273,0,0.04470347275497516,0.04470347275497516,0.26077632668057577,0,0.016600638982414772,0,0.07470413153230984,0.07470413153230984,0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.20043508086458744,0.20920510842645745,0.23470848177186673,0.7067626734382184,0.2158210662797373,0.806926376257576,0,0.34526986211808575,0,0.21039527799925672,0.21039527799925672,0,0.5619139916595207,0,0.5430445992461291,0.19134623471238818,0.1654813862871534,0,0.012264549353233798,0.012264549353233798,0.5777176787771596,0,0.15938166742280196,0,0.3842857511383974,0.3842857511383974,0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.44739572299857666,0.13424774580739357,0.2141495026999644,0.7715747941058724,0.22318622939290172,0.843135467124511,0,0.028464492756301505,0,0.11757731041944,0.11757731041944,0,0.14256516322204765,0,0.5155421480764967,0.26560916604148294,0.25866674170291576,0,0.015808156206467708,0.015808156206467708,0.45607908260893104,0,0.06131846579153685,0,0.48922481720648164,0.48922481720648164,0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.3144149550108015,0.17832111286233315,0.231262531966054,0.746866898253793,0.23422415111536976,0.8109033909244306,0,0.32430433422883254,0,0.2885017470387058,0.2885017470387058,0,0.5631113027882831,0,0.6447412440866492,0.08964958987186815,0.21518580875785503,0,0.014812039819651755,0.014812039819651755,0.6368185828252015,0,0.08219123635189395,0,0.4338571013963091,0.4338571013963091,0
