Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-01T01:00:00+01:00,0.0,0.02547322527,0.0,1.5432000000000001,0.0,0.5017806
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.023539112869999997,0.0,1.5432000000000001,0.0,0.462984675
sc01,y2030,2030-01-01T05:00:00+01:00,0.0,0.022567971080000002,0.0,1.5432000000000001,0.0,0.41262225633991595
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.028234534999999998,1.5432000000000001,0.0,0.20364005000000004
sc01,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,0.08384517748306024,1.5432000000000001,0.0,0.18219819999999998
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.026781316120482068,0.13363341529503941,1.5432000000000001,0.0,0.24997777499999996
sc01,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.13363341529503941,1.5432000000000001,0.0,0.29649752499999993
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.048221450465826265,0.18574070452938415,1.5432000000000001,0.0,0.27381435
sc01,y2030,2030-01-01T17:00:00+01:00,0.0,0.10020514707994585,0.41712776521120354,1.5432000000000001,0.0,0.17593027499999997
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,0.09400464369488179,0.4642244341370573,1.5432000000000001,0.0,0.13971307499999996
sc01,y2030,2030-01-01T21:00:00+01:00,0.0,0.09744569262266475,0.3515426637516281,1.5432000000000001,0.0,0.1593661499999999
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,0.25471229515132654,1.5432000000000001,0.0,0.17244827499999993
sc01,y2030,2030-01-02T01:00:00+01:00,0.0,0.0,0.25471229515132654,1.5432000000000001,0.0,0.15797959999999991
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.25471229515132654,1.5432000000000001,0.0,0.1430423999999999
sc01,y2030,2030-01-02T05:00:00+01:00,0.0,0.0,0.2905078176928302,1.5432000000000001,0.0,0.14835847499999988
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.06118304710974713,0.5579559691265401,1.5432000000000001,0.0,0.15770634999999994
sc01,y2030,2030-01-02T09:00:00+01:00,0.0,0.06232159975629396,0.7628695055670336,1.5432000000000001,0.0,0.1670248499999999
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,0.07046673010242488,0.7765974969750786,1.5432000000000001,0.0,0.21694517499999993
sc01,y2030,2030-01-02T13:00:00+01:00,0.0,0.04425121616385605,0.7765974969750786,1.5432000000000001,0.0,0.21774069999999993
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,0.06672523092844733,0.8277485323736411,1.5432000000000001,0.0,0.19389052499999995
sc01,y2030,2030-01-02T17:00:00+01:00,0.0,0.054535369767048245,1.045109851806068,1.5432000000000001,0.0,0.12695284999999995
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.04896339355881345,0.9820945915053865,1.5432000000000001,0.0,0.09273014999999997
sc01,y2030,2030-01-02T21:00:00+01:00,0.0,0.048961734593975126,0.7801815865176869,1.5432000000000001,0.0,0.08875524999999994
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,0.050980249106231224,0.5235497383170882,1.5432000000000001,0.0,0.09735494999999994
sc01,y2030,2030-01-03T01:00:00+01:00,0.0,0.0,0.5235497383170882,1.5432000000000001,0.0,0.0963839249999999
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,0.5235497383170882,1.5432000000000001,0.0,0.11617574999999991
sc01,y2030,2030-01-03T05:00:00+01:00,0.0,0.0,0.5235497383170882,1.5432000000000001,0.0,0.13547314999999993
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,0.06072977779496795,0.7553308103600807,1.5432000000000001,0.0,0.15754819999999994
sc01,y2030,2030-01-03T09:00:00+01:00,0.0,0.06616147063789923,0.9007439849605925,1.5432000000000001,0.0,0.19193982499999993
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,0.011468428480590289,0.8809373105556593,1.5432000000000001,0.0,0.2871487749999999
sc01,y2030,2030-01-03T13:00:00+01:00,0.0,0.0,0.8809373105556593,1.5432000000000001,0.0,0.30603644999999985
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.8809373105556593,1.5432000000000001,0.0,0.3104586999999998
sc01,y2030,2030-01-03T17:00:00+01:00,0.0,0.07529235940832091,0.9894141534304911,1.5432000000000001,0.0,0.2537466499999998
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,0.07391830370495954,0.8809373105556593,1.5432000000000001,0.0,0.2421521249999998
sc01,y2030,2030-01-03T21:00:00+01:00,0.0,0.10283562676947293,0.41408107976254216,1.5432000000000001,0.0,0.4548671749999998
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,0.03459288056104974,0.22153622707088777,1.5432000000000001,0.0,0.45479359999999985
sc01,y2030,2030-01-04T01:00:00+01:00,0.0,0.0,0.22153622707088777,1.5432000000000001,0.0,0.4544914249999999
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,0.22153622707088777,1.5432000000000001,0.0,0.45388277499999985
sc01,y2030,2030-01-04T05:00:00+01:00,0.0,0.0,0.22153622707088777,1.5432000000000001,0.0,0.45946682499999986
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,0.07657058674982774,0.6702207502650879,1.5432000000000001,0.0,0.2572342499999998
sc01,y2030,2030-01-04T09:00:00+01:00,0.0,0.07694158405695961,0.8440147701183023,1.5432000000000001,0.0,0.2622005999999998
sc01,y2030,2030-01-04T11:00:00+01:00,0.0,0.02644093544443764,0.8440147701183023,1.5432000000000001,0.0,0.3259935999999998
sc01,y2030,2030-01-04T13:00:00+01:00,0.0,0.0,0.8440147701183023,1.5432000000000001,0.0,0.3395656749999998
sc01,y2030,2030-01-04T15:00:00+01:00,0.0,0.04341660323373823,0.8440147701183023,1.5432000000000001,0.0,0.30826082499999985
sc01,y2030,2030-01-04T17:00:00+01:00,0.0,0.06882787840620745,1.0407546250302726,1.5432000000000001,0.0,0.2108474999999998
sc01,y2030,2030-01-04T19:00:00+01:00,0.0,0.06494336319176908,0.9436827994490544,1.5432000000000001,0.0,0.18572467499999984
sc01,y2030,2030-01-04T21:00:00+01:00,0.0,0.0920515770659948,0.5101678285612015,1.5432000000000001,0.0,0.3675504499999999
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,0.39887471726033275,1.5432000000000001,0.0,0.31679484999999996
sc01,y2030,2030-01-05T01:00:00+01:00,0.0,0.0,0.39887471726033275,1.5432000000000001,0.0,0.26796724999999993
sc01,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,0.39887471726033275,1.5432000000000001,0.0,0.25626055
sc01,y2030,2030-01-05T05:00:00+01:00,0.0,0.003054766772386851,0.39887471726033275,1.5432000000000001,0.0,0.25202759999999996
sc01,y2030,2030-01-05T07:00:00+01:00,0.0,0.04406865744884225,0.8943075155398887,1.5432000000000001,0.0,0.06433489999999989
sc01,y2030,2030-01-05T09:00:00+01:00,0.0,0.04961661349720052,1.0297250979857107,1.5432000000000001,0.0,0.09767772499999988
sc01,y2030,2030-01-05T11:00:00+01:00,0.0,0.029102559344320534,0.9787153319621518,1.5432000000000001,0.0,0.1727434749999999
sc01,y2030,2030-01-05T13:00:00+01:00,0.0,0.0,0.9787153319621518,1.5432000000000001,0.0,0.1970631499999999
