InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc01,y2030,2030-01-01T01:00:00+01:00,310.384220390769,392.992691664231,-92.04991151139863,-142.84663298860133,-81.99320269303051,-49.20613290336817,234.89654449999998,14.341152005617808,73.44592484212076,71.76035925862645,65.22187034925287,-26.113200951373592,24.427635367879287
sc01,y2030,2030-01-01T03:00:00+01:00,238.7048287613306,432.7603047916695,-72.92014907162014,-144.1413425783799,-49.462910501843595,-59.634153849776496,217.06149165,-13.811296323680168,51.6312381351669,71.72450401361097,71.09517747122207,-18.717784181389028,38.81105005983309
sc01,y2030,2030-01-01T05:00:00+01:00,244.7076361123105,426.3092398831896,-67.92280189246685,-140.18348880753317,-43.11292541867828,-59.494258258788626,208.1062907,-17.67511530741761,46.84093814554957,69.65212583748337,69.93548810696704,-17.05882862251662,39.87001631445042
sc01,y2030,2030-01-01T07:00:00+01:00,354.8761814185365,389.4719789414636,-74.47183199716484,-133.8157213028352,-57.211859347190476,-51.97456486997437,208.28755330000004,-3.223511560486947,55.56193643183293,66.81939373572231,64.20960302744471,-19.96708681927761,31.224544123167107
sc01,y2030,2030-01-01T09:00:00+01:00,385.81791779950345,422.13575718049657,-77.67469316455733,-143.6306052854427,-57.642519299874074,-56.9163902746832,221.30529845,-6.660718143590927,57.09305254322028,71.64268116059324,69.51692950118638,-20.567859864406792,35.117488481779645
sc01,y2030,2030-01-01T11:00:00+01:00,397.22254389399137,448.4699263160088,-85.13601236806534,-153.80093723193465,-64.99288533247488,-59.96595197059046,238.9369496,-4.353910645146009,63.344207406662356,76.78304215577913,73.92043444755846,-22.77402017422081,36.21285492333759
sc01,y2030,2030-01-01T13:00:00+01:00,387.1320339345836,445.28368468041646,-87.37182791518904,-154.02250588481104,-68.6084602479095,-58.995756632279516,241.39433379999997,-1.3665298192663267,65.81497635594025,76.9662974563533,73.46781695270643,-23.614674993646666,34.76599609405972
sc01,y2030,2030-01-01T15:00:00+01:00,411.74487382374946,470.2034997612508,-89.45258408822664,-161.3426278617734,-68.416326224491,-62.83545986373562,250.7952119500001,-4.3663910074946966,66.61009370675308,80.55300701274892,77.50761002549788,-23.94499798725103,37.887911293246866
sc01,y2030,2030-01-01T17:00:00+01:00,449.3678353704039,536.0,-72.83020249014783,-162.8443273302555,-46.269272893384674,-72.14778364176311,273.52112425000007,-25.192542172956966,60.38770169997587,91.93844894834136,92.70318981668268,-22.02868615165865,53.579433400024136
