,,,Up,Down
sc01,y2030,2030-01-01T00:00:00+01:00,13.01333333,13.01333333
sc01,y2030,2030-01-01T01:00:00+01:00,12.45989194,12.45989194
sc01,y2030,2030-01-01T02:00:00+01:00,11.94768342,11.94768342
sc01,y2030,2030-01-01T03:00:00+01:00,11.59142945,11.59142945
sc01,y2030,2030-01-01T04:00:00+01:00,11.31442929,11.31442929
sc01,y2030,2030-01-01T05:00:00+01:00,11.25354179,11.25354179
sc01,y2030,2030-01-01T06:00:00+01:00,11.23317834,11.23317834
sc01,y2030,2030-01-01T07:00:00+01:00,11.35444966,11.35444966
sc01,y2030,2030-01-01T08:00:00+01:00,11.68667189,11.68667189
sc01,y2030,2030-01-01T09:00:00+01:00,12.31265826,12.31265826
sc01,y2030,2030-01-01T10:00:00+01:00,12.78233004,12.78233004
sc01,y2030,2030-01-01T11:00:00+01:00,13.12905471,13.12905471
sc01,y2030,2030-01-01T12:00:00+01:00,13.09274036,13.09274036
sc01,y2030,2030-01-01T13:00:00+01:00,13.08513406,13.08513406
sc01,y2030,2030-01-01T14:00:00+01:00,13.29439295,13.29439295
sc01,y2030,2030-01-01T15:00:00+01:00,13.90295448,13.90295448
sc01,y2030,2030-01-01T16:00:00+01:00,14.63032922,14.63032922
sc01,y2030,2030-01-01T17:00:00+01:00,15.03151714,15.03151714
sc01,y2030,2030-01-01T18:00:00+01:00,14.9704986,14.9704986
sc01,y2030,2030-01-01T19:00:00+01:00,14.75430254,14.75430254
sc01,y2030,2030-01-01T20:00:00+01:00,14.45729467,14.45729467
sc01,y2030,2030-01-01T21:00:00+01:00,14.07337142,14.07337142
sc01,y2030,2030-01-01T22:00:00+01:00,13.42632203,13.42632203
sc01,y2030,2030-01-01T23:00:00+01:00,12.70600326,12.70600326
sc01,y2030,2030-01-02T00:00:00+01:00,12.31279625,12.31279625
sc01,y2030,2030-01-02T01:00:00+01:00,12.02063378,12.02063378
sc01,y2030,2030-01-02T02:00:00+01:00,11.8151696,11.8151696
sc01,y2030,2030-01-02T03:00:00+01:00,11.93179308,11.93179308
sc01,y2030,2030-01-02T04:00:00+01:00,12.56177305,12.56177305
sc01,y2030,2030-01-02T05:00:00+01:00,13.72071725,13.72071725
sc01,y2030,2030-01-02T06:00:00+01:00,14.90568436,14.90568436
sc01,y2030,2030-01-02T07:00:00+01:00,15.86979467,15.86979467
sc01,y2030,2030-01-02T08:00:00+01:00,16.55058911,16.55058911
sc01,y2030,2030-01-02T09:00:00+01:00,17.09148317,17.09148317
sc01,y2030,2030-01-02T10:00:00+01:00,17.30735592,17.30735592
sc01,y2030,2030-01-02T11:00:00+01:00,17.29025274,17.29025274
sc01,y2030,2030-01-02T12:00:00+01:00,17.19361513,17.19361513
sc01,y2030,2030-01-02T13:00:00+01:00,17.06997737,17.06997737
sc01,y2030,2030-01-02T14:00:00+01:00,17.208653,17.208653
sc01,y2030,2030-01-02T15:00:00+01:00,17.71285082,17.71285082
sc01,y2030,2030-01-02T16:00:00+01:00,18.29209773,18.29209773
sc01,y2030,2030-01-02T17:00:00+01:00,18.46455283,18.46455283
sc01,y2030,2030-01-02T18:00:00+01:00,17.99776042,17.99776042
sc01,y2030,2030-01-02T19:00:00+01:00,17.39179995,17.39179995
sc01,y2030,2030-01-02T20:00:00+01:00,16.68561267,16.68561267
sc01,y2030,2030-01-02T21:00:00+01:00,15.9669558,15.9669558
sc01,y2030,2030-01-02T22:00:00+01:00,15.10082865,15.10082865
sc01,y2030,2030-01-02T23:00:00+01:00,14.27747782,14.27747782
sc01,y2030,2030-01-03T00:00:00+01:00,13.80133877,13.80133877
sc01,y2030,2030-01-03T01:00:00+01:00,13.45096235,13.45096235
sc01,y2030,2030-01-03T02:00:00+01:00,13.23239818,13.23239818
sc01,y2030,2030-01-03T03:00:00+01:00,13.2963368,13.2963368
sc01,y2030,2030-01-03T04:00:00+01:00,13.84033824,13.84033824
sc01,y2030,2030-01-03T05:00:00+01:00,15.00689469,15.00689469
sc01,y2030,2030-01-03T06:00:00+01:00,16.19690212,16.19690212
sc01,y2030,2030-01-03T07:00:00+01:00,17.19753923,17.19753923
sc01,y2030,2030-01-03T08:00:00+01:00,17.75820934,17.75820934
sc01,y2030,2030-01-03T09:00:00+01:00,18.10042119,18.10042119
sc01,y2030,2030-01-03T10:00:00+01:00,18.14768485,18.14768485
sc01,y2030,2030-01-03T11:00:00+01:00,17.99832299,17.99832299
sc01,y2030,2030-01-03T12:00:00+01:00,17.85967548,17.85967548
sc01,y2030,2030-01-03T13:00:00+01:00,17.7231952,17.7231952
sc01,y2030,2030-01-03T14:00:00+01:00,17.86216073,17.86216073
sc01,y2030,2030-01-03T15:00:00+01:00,18.33794337,18.33794337
sc01,y2030,2030-01-03T16:00:00+01:00,18.91402365,18.91402365
sc01,y2030,2030-01-03T17:00:00+01:00,19.06731789,19.06731789
sc01,y2030,2030-01-03T18:00:00+01:00,18.54943799,18.54943799
sc01,y2030,2030-01-03T19:00:00+01:00,17.81756565,17.81756565
sc01,y2030,2030-01-03T20:00:00+01:00,17.05911907,17.05911907
sc01,y2030,2030-01-03T21:00:00+01:00,16.30524984,16.30524984
sc01,y2030,2030-01-03T22:00:00+01:00,15.38186742,15.38186742
sc01,y2030,2030-01-03T23:00:00+01:00,14.51557745,14.51557745
sc01,y2030,2030-01-04T00:00:00+01:00,14.01227346,14.01227346
sc01,y2030,2030-01-04T01:00:00+01:00,13.63764688,13.63764688
sc01,y2030,2030-01-04T02:00:00+01:00,13.38666699,13.38666699
sc01,y2030,2030-01-04T03:00:00+01:00,13.44026322,13.44026322
sc01,y2030,2030-01-04T04:00:00+01:00,13.98425208,13.98425208
sc01,y2030,2030-01-04T05:00:00+01:00,15.13117544,15.13117544
sc01,y2030,2030-01-04T06:00:00+01:00,16.38130725,16.38130725
sc01,y2030,2030-01-04T07:00:00+01:00,17.41822197,17.41822197
sc01,y2030,2030-01-04T08:00:00+01:00,17.9390931,17.9390931
sc01,y2030,2030-01-04T09:00:00+01:00,18.24389722,18.24389722
sc01,y2030,2030-01-04T10:00:00+01:00,18.27480625,18.27480625
sc01,y2030,2030-01-04T11:00:00+01:00,18.09485405,18.09485405
sc01,y2030,2030-01-04T12:00:00+01:00,17.97474163,17.97474163
sc01,y2030,2030-01-04T13:00:00+01:00,17.8573739,17.8573739
sc01,y2030,2030-01-04T14:00:00+01:00,17.97204526,17.97204526
sc01,y2030,2030-01-04T15:00:00+01:00,18.38450513,18.38450513
sc01,y2030,2030-01-04T16:00:00+01:00,18.92539985,18.92539985
sc01,y2030,2030-01-04T17:00:00+01:00,19.08076766,19.08076766
sc01,y2030,2030-01-04T18:00:00+01:00,18.52011674,18.52011674
sc01,y2030,2030-01-04T19:00:00+01:00,17.81014698,17.81014698
sc01,y2030,2030-01-04T20:00:00+01:00,17.04108963,17.04108963
sc01,y2030,2030-01-04T21:00:00+01:00,16.3002082,16.3002082
sc01,y2030,2030-01-04T22:00:00+01:00,15.4263619,15.4263619
sc01,y2030,2030-01-04T23:00:00+01:00,14.54479909,14.54479909
sc01,y2030,2030-01-05T00:00:00+01:00,14.06092435,14.06092435
sc01,y2030,2030-01-05T01:00:00+01:00,13.69042804,13.69042804
sc01,y2030,2030-01-05T02:00:00+01:00,13.44926934,13.44926934
sc01,y2030,2030-01-05T03:00:00+01:00,13.49808436,13.49808436
sc01,y2030,2030-01-05T04:00:00+01:00,13.98846806,13.98846806
sc01,y2030,2030-01-05T05:00:00+01:00,15.16021408,15.16021408
sc01,y2030,2030-01-05T06:00:00+01:00,16.37502332,16.37502332
sc01,y2030,2030-01-05T07:00:00+01:00,17.40452434,17.40452434
sc01,y2030,2030-01-05T08:00:00+01:00,17.90062741,17.90062741
sc01,y2030,2030-01-05T09:00:00+01:00,18.19633905,18.19633905
sc01,y2030,2030-01-05T10:00:00+01:00,18.19941731,18.19941731
sc01,y2030,2030-01-05T11:00:00+01:00,17.95209579,17.95209579
sc01,y2030,2030-01-05T12:00:00+01:00,17.73743158,17.73743158
sc01,y2030,2030-01-05T13:00:00+01:00,17.52604517,17.52604517
sc01,y2030,2030-01-05T14:00:00+01:00,17.61240691,17.61240691
sc01,y2030,2030-01-05T15:00:00+01:00,17.97939542,17.97939542
sc01,y2030,2030-01-05T16:00:00+01:00,18.47820645,18.47820645
sc01,y2030,2030-01-05T17:00:00+01:00,18.58475063,18.58475063
sc01,y2030,2030-01-05T18:00:00+01:00,17.96317581,17.96317581
sc01,y2030,2030-01-05T19:00:00+01:00,17.25181154,17.25181154
sc01,y2030,2030-01-05T20:00:00+01:00,16.51381279,16.51381279
sc01,y2030,2030-01-05T21:00:00+01:00,15.87500772,15.87500772
sc01,y2030,2030-01-05T22:00:00+01:00,15.08556442,15.08556442
sc01,y2030,2030-01-05T23:00:00+01:00,14.25421778,14.25421778
sc01,y2030,2030-01-06T00:00:00+01:00,13.72470621,13.72470621
sc01,y2030,2030-01-06T01:00:00+01:00,13.25881888,13.25881888
sc01,y2030,2030-01-06T02:00:00+01:00,12.87825121,12.87825121
sc01,y2030,2030-01-06T03:00:00+01:00,12.64144648,12.64144648
sc01,y2030,2030-01-06T04:00:00+01:00,12.56731737,12.56731737
sc01,y2030,2030-01-06T05:00:00+01:00,12.89338671,12.89338671
sc01,y2030,2030-01-06T06:00:00+01:00,13.3853926,13.3853926
sc01,y2030,2030-01-06T07:00:00+01:00,13.98779199,13.98779199
sc01,y2030,2030-01-06T08:00:00+01:00,14.70544581,14.70544581
sc01,y2030,2030-01-06T09:00:00+01:00,15.22435125,15.22435125
sc01,y2030,2030-01-06T10:00:00+01:00,15.47725315,15.47725315
sc01,y2030,2030-01-06T11:00:00+01:00,15.46836451,15.46836451
sc01,y2030,2030-01-06T12:00:00+01:00,15.19610253,15.19610253
sc01,y2030,2030-01-06T13:00:00+01:00,15.03747643,15.03747643
sc01,y2030,2030-01-06T14:00:00+01:00,15.09820905,15.09820905
sc01,y2030,2030-01-06T15:00:00+01:00,15.59982036,15.59982036
sc01,y2030,2030-01-06T16:00:00+01:00,16.2930182,16.2930182
sc01,y2030,2030-01-06T17:00:00+01:00,16.65118426,16.65118426
sc01,y2030,2030-01-06T18:00:00+01:00,16.33038621,16.33038621
sc01,y2030,2030-01-06T19:00:00+01:00,15.83131375,15.83131375
sc01,y2030,2030-01-06T20:00:00+01:00,15.31410729,15.31410729
sc01,y2030,2030-01-06T21:00:00+01:00,14.83987039,14.83987039
sc01,y2030,2030-01-06T22:00:00+01:00,14.18732302,14.18732302
sc01,y2030,2030-01-06T23:00:00+01:00,13.4526398,13.4526398
sc01,y2030,2030-01-07T00:00:00+01:00,12.96831897,12.96831897
sc01,y2030,2030-01-07T01:00:00+01:00,12.48163567,12.48163567
sc01,y2030,2030-01-07T02:00:00+01:00,12.12661969,12.12661969
sc01,y2030,2030-01-07T03:00:00+01:00,11.91228408,11.91228408
sc01,y2030,2030-01-07T04:00:00+01:00,11.79309594,11.79309594
sc01,y2030,2030-01-07T05:00:00+01:00,11.97738193,11.97738193
sc01,y2030,2030-01-07T06:00:00+01:00,12.33649939,12.33649939
sc01,y2030,2030-01-07T07:00:00+01:00,12.81875227,12.81875227
sc01,y2030,2030-01-07T08:00:00+01:00,13.47330406,13.47330406
sc01,y2030,2030-01-07T09:00:00+01:00,14.12811794,14.12811794
sc01,y2030,2030-01-07T10:00:00+01:00,14.49907722,14.49907722
sc01,y2030,2030-01-07T11:00:00+01:00,14.59763684,14.59763684
sc01,y2030,2030-01-07T12:00:00+01:00,14.42950428,14.42950428
sc01,y2030,2030-01-07T13:00:00+01:00,14.29458761,14.29458761
sc01,y2030,2030-01-07T14:00:00+01:00,14.37969681,14.37969681
sc01,y2030,2030-01-07T15:00:00+01:00,14.98018378,14.98018378
sc01,y2030,2030-01-07T16:00:00+01:00,15.88203425,15.88203425
sc01,y2030,2030-01-07T17:00:00+01:00,16.30318487,16.30318487
sc01,y2030,2030-01-07T18:00:00+01:00,16.16726351,16.16726351
sc01,y2030,2030-01-07T19:00:00+01:00,15.83238363,15.83238363
sc01,y2030,2030-01-07T20:00:00+01:00,15.39998621,15.39998621
sc01,y2030,2030-01-07T21:00:00+01:00,14.83919464,14.83919464
sc01,y2030,2030-01-07T22:00:00+01:00,14.03487131,14.03487131
sc01,y2030,2030-01-07T23:00:00+01:00,13.2752794,13.2752794
sc01,y2030,2030-01-08T00:00:00+01:00,12.95184654,12.95184654
sc01,y2030,2030-01-08T01:00:00+01:00,12.66375378,12.66375378
sc01,y2030,2030-01-08T02:00:00+01:00,12.50665854,12.50665854
sc01,y2030,2030-01-08T03:00:00+01:00,12.71042243,12.71042243
sc01,y2030,2030-01-08T04:00:00+01:00,13.6137935,13.6137935
sc01,y2030,2030-01-08T05:00:00+01:00,15.28770115,15.28770115
sc01,y2030,2030-01-08T06:00:00+01:00,16.83922393,16.83922393
sc01,y2030,2030-01-08T07:00:00+01:00,17.85490752,17.85490752
sc01,y2030,2030-01-08T08:00:00+01:00,18.21325426,18.21325426
sc01,y2030,2030-01-08T09:00:00+01:00,18.45610333,18.45610333
sc01,y2030,2030-01-08T10:00:00+01:00,18.44071831,18.44071831
sc01,y2030,2030-01-08T11:00:00+01:00,18.29092327,18.29092327
sc01,y2030,2030-01-08T12:00:00+01:00,18.23858125,18.23858125
sc01,y2030,2030-01-08T13:00:00+01:00,18.10599165,18.10599165
sc01,y2030,2030-01-08T14:00:00+01:00,18.1863567,18.1863567
sc01,y2030,2030-01-08T15:00:00+01:00,18.60826878,18.60826878
sc01,y2030,2030-01-08T16:00:00+01:00,19.09068017,19.09068017
sc01,y2030,2030-01-08T17:00:00+01:00,19.1771541,19.1771541
sc01,y2030,2030-01-08T18:00:00+01:00,18.54848525,18.54848525
sc01,y2030,2030-01-08T19:00:00+01:00,17.82907554,17.82907554
sc01,y2030,2030-01-08T20:00:00+01:00,16.93424034,16.93424034
sc01,y2030,2030-01-08T21:00:00+01:00,16.06125279,16.06125279
sc01,y2030,2030-01-08T22:00:00+01:00,15.07535506,15.07535506
sc01,y2030,2030-01-08T23:00:00+01:00,14.18812352,14.18812352
sc01,y2030,2030-01-09T00:00:00+01:00,13.76454193,13.76454193
sc01,y2030,2030-01-09T01:00:00+01:00,13.42524189,13.42524189
sc01,y2030,2030-01-09T02:00:00+01:00,13.25263522,13.25263522
sc01,y2030,2030-01-09T03:00:00+01:00,13.3343799,13.3343799
sc01,y2030,2030-01-09T04:00:00+01:00,14.08229613,14.08229613
sc01,y2030,2030-01-09T05:00:00+01:00,15.57358036,15.57358036
sc01,y2030,2030-01-09T06:00:00+01:00,17.08637568,17.08637568
sc01,y2030,2030-01-09T07:00:00+01:00,17.97585287,17.97585287
sc01,y2030,2030-01-09T08:00:00+01:00,18.24271913,18.24271913
sc01,y2030,2030-01-09T09:00:00+01:00,18.41133915,18.41133915
sc01,y2030,2030-01-09T10:00:00+01:00,18.29993204,18.29993204
sc01,y2030,2030-01-09T11:00:00+01:00,18.08175042,18.08175042
sc01,y2030,2030-01-09T12:00:00+01:00,17.98474118,17.98474118
