InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc01,y2030,2030-01-01T01:00:00+01:00,342.8902961847755,361.80000000000007,-98.5793758938826,-136.64044199922643,-95.05475852892953,-42.81546274951187,234.8965445,25.572815744694285,80.940022839143,69.10499234315945,60.40983462499024,-28.78522767450058,16.93353737085701
sc01,y2030,2030-01-01T03:00:00+01:00,270.89588990452614,396.06996825396834,-83.34586319807048,-136.73191473934776,-70.71003746680209,-52.04482101126838,217.06149165000002,1.6609536970865006,63.44206237456124,68.73321835526545,65.1683504901733,-23.211987039734538,27.00022582043876
sc01,y2030,2030-01-01T05:00:00+01:00,278.66764237208866,387.8499582289057,-80.47119903955914,-132.70945726044087,-68.94377226381928,-51.22153256073986,208.10629070000002,0.7712112685888534,61.15890477868616,66.5182025804906,63.7934895308232,-22.68145347950938,25.552049681313818
sc01,y2030,2030-01-01T07:00:00+01:00,364.7834139933309,380.5835649595226,-76.55122194269381,-132.00177876455143,-61.283557434926735,-50.068460635786344,208.28755330000004,0.0,57.63579672728714,65.98933009743578,62.989938065824575,-20.80881908146305,29.150683827712847
sc01,y2030,2030-01-01T09:00:00+01:00,404.11573277378494,404.9794698694344,-81.03877902449729,-140.5674764567208,-64.7416280491305,-53.27581461859476,221.30529845,0.0,61.0282539339629,70.1836292729024,67.06724295482095,-22.0388968149416,31.18228709103708
sc01,y2030,2030-01-01T11:00:00+01:00,410.19485305954356,436.81042369179454,-87.73912499226309,-151.54714212611736,-70.20316457750515,-57.46689538805633,238.93694960000002,0.0,66.05510110071785,75.71995887438787,72.30054841631954,-23.85036892953729,33.50196122928213
sc01,y2030,2030-01-01T13:00:00+01:00,402.00000000000006,431.7560353208078,-90.60178932757597,-151.1445153005784,-74.77122386965858,-56.176554171687755,241.39433380000003,3.36035809530859,69.0737619510967,75.71869640521933,71.48431641593228,-24.87661960928872,31.5072104989033
sc01,y2030,2030-01-01T15:00:00+01:00,410.50016153563547,472.8882176381344,-89.74506557181813,-161.43433607502186,-68.36611448816745,-63.29252724513705,250.79521195000004,-5.747906293681631,66.0288786654724,80.57947441699613,78.09214727427445,-23.932213904113265,38.46912633452761
sc01,y2030,2030-01-01T17:00:00+01:00,402.19419729368275,506.7397817654766,-36.001366099389855,-122.01125754771525,-17.777873711627965,-63.8766412900649,273.52112425000007,-37.459680244860984,53.07884769250355,94.20000920820613,97.80615240974291,-19.778748062943947,60.88828740749645
sc01,y2030,2030-01-01T19:00:00+01:00,402.19419729368275,503.6371112164446,-23.837719734296776,-111.17621063692471,-7.132136203834509,-62.44717922742189,274.1016498500002,-42.676772880495164,49.861554282922235,95.51162185604441,100.23666626039103,-18.708081293341642,64.34746646707778
