Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-01T01:00:00+01:00,0,-0.13573719152828667,-0.10812221807486706,-0.06712561672835185,-0.23155319787835185,-0.07859853833284618,-0.12165475388802202,-0.11120947350747258,-0.11853776411783636
sc01,y2030,2030-01-01T03:00:00+01:00,0,-0.14420859798968583,-0.1223325532681998,-0.09760109801727802,-0.24954414217227802,-0.08655206095833388,-0.12958676336650043,-0.12209964969394485,-0.13374296471189476
sc01,y2030,2030-01-01T05:00:00+01:00,0,-0.14133524349965115,-0.12095840293191108,-0.09940194022257197,-0.24507634371257198,-0.08526184797663791,-0.12705312347912792,-0.12022959203012137,-0.1321905969244565
sc01,y2030,2030-01-01T07:00:00+01:00,0,-0.13142068430942677,-0.10907913471027733,-0.0804732050366821,-0.22627449234668212,-0.0778943957882927,-0.1179860320297261,-0.10999919730201503,-0.11936656053896515
sc01,y2030,2030-01-01T09:00:00+01:00,0,-0.14187939355027643,-0.11857698560090923,-0.08975572595097218,-0.24466943486597217,-0.0844271514360993,-0.1274127601324552,-0.11918561618669252,-0.12972086273122643
sc01,y2030,2030-01-01T11:00:00+01:00,0,-0.1512143601559756,-0.125673556445556,-0.09317711377931855,-0.26043297849931857,-0.08969398526320174,-0.13576381055666922,-0.12665420248698095,-0.13751805896398223
sc01,y2030,2030-01-01T13:00:00+01:00,0,-0.15066573929000768,-0.12445419091545099,-0.09014996079149623,-0.25912599445149626,-0.08905673693608329,-0.13523651540989526,-0.1257906454124365,-0.1362204442406544
sc01,y2030,2030-01-01T15:00:00+01:00,0,-0.15857775109695949,-0.1317419758704915,-0.09753381275824598,-0.273090461123246,-0.09404069995225013,-0.1423725041598995,-0.1327945049649991,-0.14416087835297314
sc01,y2030,2030-01-01T17:00:00+01:00,0,-0.1723377309321022,-0.15048867018505785,-0.1273540337383655,-0.31881882071336554,-0.10719999999999999,-0.1623630693690048,-0.15355159490834136,-0.1696254249283486
sc01,y2030,2030-01-01T19:00:00+01:00,0,-0.16869856668948022,-0.15008607064196927,-0.13196183194025873,-0.32383298683525885,-0.10719999999999999,-0.1631649017845388,-0.15479122800756467,-0.17192630354487287
sc01,y2030,2030-01-01T21:00:00+01:00,0,-0.17720238588232903,-0.1519029854469547,-0.12506562603962648,-0.30922873709462656,-0.10719999999999999,-0.16003140540394395,-0.1514039825599066,-0.16652286448832257
sc01,y2030,2030-01-01T23:00:00+01:00,0,-0.15655192581942456,-0.13157855166485175,-0.10164050053583874,-0.27032251827083886,-0.09346003360552167,-0.14062283168126927,-0.13190231189710094,-0.1439090207019223
sc01,y2030,2030-01-02T01:00:00+01:00,0,-0.14530974475761105,-0.12196520089688095,-0.09376199359424453,-0.25083228994924467,-0.08668134817858447,-0.13051705247310852,-0.12234316573412449,-0.1334026011332105
sc01,y2030,2030-01-02T03:00:00+01:00,0,-0.14215453247729834,-0.1194399172634634,-0.09215945276600394,-0.24544415045100404,-0.08484943027574487,-0.12768864149890877,-0.11975175905768465,-0.13063465437993044
sc01,y2030,2030-01-02T05:00:00+01:00,0,-0.1587525401893147,-0.13388801279837897,-0.10468919901277773,-0.27434051959277783,-0.09496163161722901,-0.14262045670701134,-0.1339998351988662,-0.1464130594162397
sc01,y2030,2030-01-02T07:00:00+01:00,0,-0.16441664952695106,-0.14879515141504335,-0.13377275758023327,-0.33242595214523335,-0.10719999999999999,-0.165283435372785,-0.1567073459613083,-0.1746586187684858
sc01,y2030,2030-01-02T09:00:00+01:00,0,-0.149126855036922,-0.14492624320249248,-0.14351175721302037,-0.3606685762530205,-0.10719999999999999,-0.17178321877345304,-0.1631346934157551,-0.1843924149384347
sc01,y2030,2030-01-02T11:00:00+01:00,0,-0.14827616238398597,-0.1440448628573544,-0.14111047221326384,-0.3644352002382639,-0.10719999999999999,-0.17310267981223956,-0.16386524538706593,-0.18495440444242528
sc01,y2030,2030-01-02T13:00:00+01:00,0,-0.14440361127996845,-0.14012849882257383,-0.13626587804406104,-0.3574345590990611,-0.10461789297699997,-0.16959406192255913,-0.16025229810626523,-0.18070245722210398
sc01,y2030,2030-01-02T15:00:00+01:00,0,-0.14436207679858476,-0.14339747633640235,-0.14511920051310026,-0.37053464531310026,-0.10719999999999999,-0.17427333602696501,-0.1653185493782751,-0.18743567531872266
sc01,y2030,2030-01-02T17:00:00+01:00,0,-0.1279616439213232,-0.14028487978469453,-0.16014896241505885,-0.3974101289000589,-0.10719999999999999,-0.17975364418000886,-0.17163198636001473,-0.197844724995028
