Scenario,Period,LoadLevel,CCGT,Coal_Subbituminous,Cogeneration,Hydro_UGH,Nuclear,Onshore_wind,PumpedStorage_Hydro,Pure_PumpedStorage_Hydro,Solar_PV
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,262.07855500000005,715.591151054112,1000.0,1035.5075437,732.2809221958886,0.0,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,258.76650495,630.0,1000.0,899.7286816999999,522.3406418000001,0.0,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,257.13364980000006,630.0,1000.0,804.9836575,314.1473582200005,0.0,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,257.64908220000007,0.0,1000.0,706.901754785,1050.3581918590003,0.0,0.661859976
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,260.90119670000007,630.0,1000.0,568.84711339,321.7247245750002,0.0,255.865465515
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,262.30612555000005,0.0,1000.0,455.32341902999985,223.84532360000003,0.0,1469.1564389999999
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,261.13197030000003,0.0,1000.0,488.83182717999995,233.3822753,0.0,1923.1646374500003
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,260.42270795,0.0,1000.0,475.9310899700001,228.74358135000006,0.0,1689.0517008000002
sc2015,y2030,2030-01-01T17:00:00+01:00,499.47353838764326,0.0,262.16212335,0.0,1000.0,438.6111005200001,506.8805758773565,0.0,583.8334523550001
sc2015,y2030,2030-01-01T19:00:00+01:00,1287.3779652550004,0.0,270.92048815,630.0,1000.0,474.0322802400001,372.34051508200014,0.0,0.5493157230001059
sc2015,y2030,2030-01-01T21:00:00+01:00,1287.3779652550004,0.0,274.5916539,0.0,1000.0,539.66687476,1291.7395420649993,0.0,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,1287.3779652550004,0.0,274.98664554999993,630.0,1000.0,589.1476239100001,436.0684140649993,0.0,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,1287.3779652550004,0.0,269.4198901,383.4725862299992,1000.0,543.618074385,0.0,0.0,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,1251.9716652099992,0.0,270.69597855000006,0.0,1000.0,490.31178194,0.0,0.0,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,1165.649673764999,0.0,277.977805,0.0,1000.0,504.273618385,0.0,0.0,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,1287.3779652550004,0.0,299.6533716,364.21806280399926,1000.0,539.555180035,0.0,0.0,0.6836829660001057
sc2015,y2030,2030-01-02T09:00:00+01:00,1287.3779652550004,0.0,365.27266595000003,630.0,1000.0,502.59819801000003,314.1902835344992,0.0,276.2939623905001
sc2015,y2030,2030-01-02T11:00:00+01:00,1287.3779652550004,0.0,386.2314961000001,0.0,1000.0,348.0546275100001,336.63765967500007,0.0,1466.4600532499999
sc2015,y2030,2030-01-02T13:00:00+01:00,1180.0168605949991,0.0,379.72641305,0.0,1000.0,232.24119189500001,0.0,0.0,1852.4301060000003
sc2015,y2030,2030-01-02T15:00:00+01:00,1287.3779652550004,0.0,381.41849195,0.0,1000.0,234.40527662500003,0.0,0.0,1537.7588649
sc2015,y2030,2030-01-02T17:00:00+01:00,1287.3779652550004,0.0,406.5816448,0.0,1000.0,291.20202844999994,868.237717325,0.0,486.28720053
sc2015,y2030,2030-01-02T19:00:00+01:00,1287.3779652550004,0.0,416.41301454999996,379.99999999999994,1000.0,309.57580545499997,1543.1782252670275,31.601234121471755,0.6440898315000463
sc2015,y2030,2030-01-02T21:00:00+01:00,1287.3779652550004,0.0,421.7008058,390.6650884804425,1000.0,295.544159635,1600.0,107.75335757955628,0.0
