,ni,nf,cc,PotentialBenefitRatio
57,Node_6,Node_5,nc02,6773804.600204789
58,Node_6,Node_5,nc03,6773804.600204789
59,Node_6,Node_5,nc04,8128580.081181378
60,Node_7,Node_1,nc01,83449197.90896271
61,Node_7,Node_1,nc02,111266427.76773521
62,Node_7,Node_1,nc03,111266427.76773521
63,Node_7,Node_1,nc04,133519967.02069783
64,Node_7,Node_2,nc01,400674.7413669243
65,Node_7,Node_2,nc02,534236.9792700817
66,Node_7,Node_2,nc03,534236.9792700817
67,Node_7,Node_2,nc04,641085.5941376725
68,Node_7,Node_3,nc01,1275082.7946351375
69,Node_7,Node_3,nc02,1700122.7745505052
70,Node_7,Node_3,nc03,1700122.7745505052
71,Node_7,Node_3,nc04,2040151.111542824
72,Node_7,Node_4,nc01,7328456.874133459
73,Node_7,Node_4,nc02,9771392.530709097
74,Node_7,Node_4,nc03,9771392.530709097
75,Node_7,Node_4,nc04,11725706.683481794
76,Node_7,Node_5,nc01,3941440.553826446
77,Node_7,Node_5,nc02,5255287.827527869
78,Node_7,Node_5,nc03,5255287.827527869
79,Node_7,Node_5,nc04,6306355.703966636
80,Node_7,Node_6,nc01,6324292.918566821
81,Node_7,Node_6,nc02,8432883.064757306
82,Node_7,Node_6,nc03,8432883.064757306
83,Node_7,Node_6,nc04,10119610.127132574
84,Node_8,Node_1,nc01,81670976.48567347
85,Node_8,Node_1,nc02,108895434.56487942
86,Node_8,Node_1,nc03,108895434.56487942
87,Node_8,Node_1,nc04,130674765.61484672
88,Node_8,Node_2,nc01,171152.1020590744
89,Node_8,Node_2,nc02,228204.9078497436
90,Node_8,Node_2,nc03,228204.9078497436
91,Node_8,Node_2,nc04,273846.5324408143
92,Node_8,Node_3,nc01,1268548.4841193357
93,Node_8,Node_3,nc02,1691418.8327353357
94,Node_8,Node_3,nc03,1691418.8327353357
95,Node_8,Node_3,nc04,2029708.9693023954
96,Node_8,Node_4,nc01,10472654.636098092
97,Node_8,Node_4,nc02,13963809.608685223
98,Node_8,Node_4,nc03,13963809.608685223
99,Node_8,Node_4,nc04,16756654.033830006
100,Node_8,Node_5,nc01,10422977.362281859
101,Node_8,Node_5,nc02,13897570.687256834
102,Node_8,Node_5,nc03,13897570.687256834
103,Node_8,Node_5,nc04,16677166.547241887
104,Node_8,Node_6,nc01,1949824.3187679183
105,Node_8,Node_6,nc02,2599793.845638568
106,Node_8,Node_6,nc03,2599793.845638568
107,Node_8,Node_6,nc04,3119761.194270321
108,Node_8,Node_7,nc01,688079.0631744266
109,Node_8,Node_7,nc02,917447.4953972176
110,Node_8,Node_7,nc03,917447.4953972176
111,Node_8,Node_7,nc04,1100939.6655552567
112,Node_9,Node_1,nc01,79126733.39665867
