Scenario,Period,LoadLevel,ESS1
sc01,y2030,2030-01-01T01:00:00+01:00,0.1522541305129154
sc01,y2030,2030-01-01T03:00:00+01:00,0.222
sc01,y2030,2030-01-01T05:00:00+01:00,0.222
sc01,y2030,2030-01-01T07:00:00+01:00,0.07305180702818176
sc01,y2030,2030-01-01T09:00:00+01:00,0.0
sc01,y2030,2030-01-01T11:00:00+01:00,0.0
sc01,y2030,2030-01-01T13:00:00+01:00,0.0
sc01,y2030,2030-01-01T15:00:00+01:00,0.0
sc01,y2030,2030-01-01T17:00:00+01:00,0.0
sc01,y2030,2030-01-01T19:00:00+01:00,0.0
sc01,y2030,2030-01-01T21:00:00+01:00,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0
sc01,y2030,2030-01-02T01:00:00+01:00,0.12187497290303584
sc01,y2030,2030-01-02T03:00:00+01:00,0.15124852547388898
sc01,y2030,2030-01-02T05:00:00+01:00,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0
sc01,y2030,2030-01-02T09:00:00+01:00,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,0.0
sc01,y2030,2030-01-02T13:00:00+01:00,0.0
sc01,y2030,2030-01-02T15:00:00+01:00,0.0
sc01,y2030,2030-01-02T17:00:00+01:00,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,0.0
sc01,y2030,2030-01-02T21:00:00+01:00,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0
sc01,y2030,2030-01-03T01:00:00+01:00,0.10960282889652702
sc01,y2030,2030-01-03T03:00:00+01:00,0.18451958309940297
sc01,y2030,2030-01-03T05:00:00+01:00,0.028041086768291933
sc01,y2030,2030-01-03T07:00:00+01:00,0.0
sc01,y2030,2030-01-03T09:00:00+01:00,0.0
sc01,y2030,2030-01-03T11:00:00+01:00,0.0
sc01,y2030,2030-01-03T13:00:00+01:00,0.050447960304064746
sc01,y2030,2030-01-03T15:00:00+01:00,0.008036044481779813
sc01,y2030,2030-01-03T17:00:00+01:00,0.0
sc01,y2030,2030-01-03T19:00:00+01:00,0.0
sc01,y2030,2030-01-03T21:00:00+01:00,0.0
sc01,y2030,2030-01-03T23:00:00+01:00,0.0
sc01,y2030,2030-01-04T01:00:00+01:00,0.13569365940083933
sc01,y2030,2030-01-04T03:00:00+01:00,0.19748894442459447
sc01,y2030,2030-01-04T05:00:00+01:00,0.029514610374669358
sc01,y2030,2030-01-04T07:00:00+01:00,0.0
sc01,y2030,2030-01-04T09:00:00+01:00,0.0
sc01,y2030,2030-01-04T11:00:00+01:00,0.0
sc01,y2030,2030-01-04T13:00:00+01:00,0.028148255901658436
sc01,y2030,2030-01-04T15:00:00+01:00,0.0
sc01,y2030,2030-01-04T17:00:00+01:00,0.0
sc01,y2030,2030-01-04T19:00:00+01:00,0.0
sc01,y2030,2030-01-04T21:00:00+01:00,0.0
sc01,y2030,2030-01-04T23:00:00+01:00,0.0
sc01,y2030,2030-01-05T01:00:00+01:00,0.11916343256124746
sc01,y2030,2030-01-05T03:00:00+01:00,0.1683166837528949
sc01,y2030,2030-01-05T05:00:00+01:00,0.0
sc01,y2030,2030-01-05T07:00:00+01:00,0.0
sc01,y2030,2030-01-05T09:00:00+01:00,0.0
sc01,y2030,2030-01-05T11:00:00+01:00,0.0
sc01,y2030,2030-01-05T13:00:00+01:00,0.06307709858717912
sc01,y2030,2030-01-05T15:00:00+01:00,0.029695112620916363
sc01,y2030,2030-01-05T17:00:00+01:00,0.0
sc01,y2030,2030-01-05T19:00:00+01:00,0.0
sc01,y2030,2030-01-05T21:00:00+01:00,0.0
sc01,y2030,2030-01-05T23:00:00+01:00,0.0
sc01,y2030,2030-01-06T01:00:00+01:00,0.0701868245920462
sc01,y2030,2030-01-06T03:00:00+01:00,0.2002502894809601
sc01,y2030,2030-01-06T05:00:00+01:00,0.222
sc01,y2030,2030-01-06T07:00:00+01:00,0.0
sc01,y2030,2030-01-06T09:00:00+01:00,0.0
sc01,y2030,2030-01-06T11:00:00+01:00,0.0
sc01,y2030,2030-01-06T13:00:00+01:00,0.0
sc01,y2030,2030-01-06T15:00:00+01:00,0.0
sc01,y2030,2030-01-06T17:00:00+01:00,0.0
sc01,y2030,2030-01-06T19:00:00+01:00,0.0
sc01,y2030,2030-01-06T21:00:00+01:00,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,0.014589827102831132
sc01,y2030,2030-01-07T01:00:00+01:00,0.15830566204007035
sc01,y2030,2030-01-07T03:00:00+01:00,0.222
sc01,y2030,2030-01-07T05:00:00+01:00,0.2118699725738197
sc01,y2030,2030-01-07T07:00:00+01:00,0.018962367730412773
sc01,y2030,2030-01-07T09:00:00+01:00,0.0
sc01,y2030,2030-01-07T11:00:00+01:00,0.0
sc01,y2030,2030-01-07T13:00:00+01:00,0.016874771753582207
sc01,y2030,2030-01-07T15:00:00+01:00,0.0
sc01,y2030,2030-01-07T17:00:00+01:00,0.003798649958571536
sc01,y2030,2030-01-07T19:00:00+01:00,0.04096200577150716
sc01,y2030,2030-01-07T21:00:00+01:00,0.0
sc01,y2030,2030-01-07T23:00:00+01:00,0.012934265844272153
sc01,y2030,2030-01-08T01:00:00+01:00,0.1546053310592377
sc01,y2030,2030-01-08T03:00:00+01:00,0.20455842639354885
sc01,y2030,2030-01-08T05:00:00+01:00,0.0
sc01,y2030,2030-01-08T07:00:00+01:00,0.0
