InitialNode,,,Almeria,Almeria,Barcelona,Barcelona,Bilbao,Bilbao,Bilbao,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Cadiz,Cadiz,Cartagena,Cartagena,Lugo,Lugo,Madrid,Madrid,Sevilla,Sevilla,Valencia,Valencia,Valencia
FinalNode,,,Cadiz,Cartagena,Madrid,Valencia,Barcelona,Valladolid,Valladolid,Madrid,Madrid,Sevilla,Sevilla,Sevilla,Valladolid,Valladolid,Sevilla,Sevilla,Valencia,Valencia,Valladolid,Valladolid,Valladolid,Valladolid,Madrid,Valladolid,Madrid,Madrid,Madrid
Circuit,,,ac1,ac1,ac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,ac1,cac1,ac1,cac1,ac1,ac2,cac1
sc2015,y2030,2030-01-01T01:00:00+01:00,-115.65950215956622,39.22158028456624,-65.97455131766571,-102.28682687822239,-56.627531249999976,-402.0,0,354.83053016141184,0,402.0,402.0,0,294.07772941410803,0,-269.18587440544513,26.03924084587883,-266.5301072154338,0,50.913317112500025,50.913317112500025,-162.0074686594766,0,25.787913290433618,0,2.6058662781718867,2.6058662781718867,0
sc2015,y2030,2030-01-01T03:00:00+01:00,-92.9377622782357,25.369684153235706,-69.83398068252461,-116.45622198089373,-21.39452806341835,-384.0139407865817,0,224.62386274091085,0,323.26402462445213,323.26402462445213,0,123.7119317101848,0,-101.54521847955955,-106.77488474867613,-244.9026283467643,0,43.66094671249998,43.66094671249998,-269.09848274860303,0,-34.7686009293316,0,11.711462286171038,11.711462286171038,0
sc2015,y2030,2030-01-01T05:00:00+01:00,-107.00191292506244,45.649572815062434,-66.9799566639691,-130.04824482022275,-55.245983334191784,-312.86805736580817,0,320.7202545984532,0,341.4425591487259,341.4425591487259,0,317.83730507409547,0,-107.05694967638641,-106.77488474867613,-199.75978763493762,0,38.613549420000005,38.613549420000005,-7.687865398287197,0,39.58690312238933,0,31.30471454741979,31.30471454741979,0
sc2015,y2030,2030-01-01T07:00:00+01:00,-61.237036866295945,-0.20016902970410033,-63.57775833376644,-104.05095540608545,2.1079414101481952,-371.3615196601481,0,119.92291789998954,0,264.66222147812533,264.66222147812533,0,-21.973695097239954,0,-78.82118511461988,-106.77488474867613,-246.2536583267042,0,30.076096632499993,30.076096632499993,-378.390967992612,0,-86.96241101804553,0,8.505070235105217,8.505070235105217,0
sc2015,y2030,2030-01-01T09:00:00+01:00,-63.37622756893013,42.00329350793008,-83.67432893861721,-154.16381090795278,-28.615872546570053,-343.3031275534298,0,238.32721373611798,0,284.3423018874305,284.3423018874305,0,199.01518248902107,0,-61.944328159254106,-106.77488474867613,-161.26778394107,0,17.970796047500016,17.970796047500016,-104.83208332559147,0,6.673456870930739,0,30.031060875988558,30.031060875988558,0
sc2015,y2030,2030-01-01T11:00:00+01:00,80.57490250756416,84.1004535874359,-94.35280967229043,-284.11859472216383,-86.7600686444544,-324.3844032555456,0,138.79848457147048,0,84.57890175570121,84.57890175570121,0,225.88942464712736,0,218.30392889694394,-76.92118635438005,66.52351728743567,0,4.930348839999987,4.930348839999987,232.2425068684182,0,64.0714303039664,0,154.48287195763578,154.48287195763578,0
sc2015,y2030,2030-01-01T13:00:00+01:00,179.8530806454278,53.967593814572226,-86.0881000853857,-310.1730672305607,-89.72086421594649,-338.9404577840535,0,-11.442726088033206,0,-47.266078788614884,-47.266078788614884,0,57.31119561526315,0,207.2479435267517,106.77488474867613,103.98403016457213,0,6.354878795000019,6.354878795000019,183.3437912087903,0,24.650023248197815,0,196.66837651700564,196.66837651700564,0
sc2015,y2030,2030-01-01T15:00:00+01:00,126.39481191434221,71.68508737065793,-92.96753785035372,-300.2404930980248,-94.15810874837865,-325.9831631516211,0,130.37034235999067,0,115.97770230955973,115.97770230955973,0,226.37074372088983,0,259.18598012283303,-36.039135128491,86.50469512065773,0,5.954440007500006,5.954440007500006,256.00107029573104,0,33.04087701346137,0,174.4105547613163,174.4105547613163,0
